,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,variable,motivo
27472,5.0,4.0,,141.0,108.0,457660.0,Departamento,bathrooms,Descartado por dato faltante
27473,5.0,4.0,,39.0,39.0,134390.0,Departamento,bathrooms,Descartado por dato faltante
27474,5.0,4.0,,140.0,108.0,503055.0,Departamento,bathrooms,Descartado por dato faltante
27475,5.0,4.0,,57.0,52.0,179674.0,Departamento,bathrooms,Descartado por dato faltante
27565,3.0,2.0,,60.0,60.0,73000.0,Departamento,bathrooms,Descartado por dato faltante
27605,5.0,3.0,,235.0,120.0,250000.0,Casa,bathrooms,Descartado por dato faltante
27606,5.0,3.0,,260.0,,250000.0,Casa,bathrooms,Descartado por dato faltante
27616,1.0,0.0,,63.0,63.0,100000.0,PH,bathrooms,Descartado por dato faltante
27846,4.0,3.0,,120.0,,240000.0,PH,bathrooms,Descartado por dato faltante
27847,6.0,3.0,,250.0,250.0,350000.0,PH,bathrooms,Descartado por dato faltante
28386,3.0,2.0,,78.0,78.0,225000.0,Departamento,bathrooms,Descartado por dato faltante
